"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari"
"Geslacht: Totaal mannen en vrouwen"
"Burgerlijke staat: Totaal burgerlijke staat"
""
"Perioden";"2000";"2001";"2002";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Onderwerp";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"69 jaar";"125614";"123469";"125701";"124321";"125308";"127840";"128144";"135892";"138653";"143797";"139816";"146436";"157842";"165891";"158287";"220292";"212678";"201570";"195091";"191999";"190079";"196060";"195142";"197391";"199799"
"70 jaar";"117891";"122892";"120807";"119938";"121801";"122943";"125524";"125805";"133592";"136402";"141445";"137582";"144054";"155341";"163289";"155775";"217058";"209616";"198650";"192332";"189248";"187009";"193337";"192235";"194467"
"71 jaar";"115490";"115059";"119960";"120051";"117279";"119160";"120383";"123104";"123457";"131158";"134070";"139053";"135183";"141557";"152781";"160391";"153102";"213639";"206366";"195686";"189136";"185993";"184337";"190405";"189050"
"72 jaar";"108596";"112401";"112026";"114966";"117136";"114487";"116493";"117788";"120528";"121064";"128646";"131515";"136382";"132701";"138932";"149943";"157486";"150383";"209871";"202910";"192126";"185630";"182912";"181083";"187028"
"73 jaar";"106289";"105323";"109042";"113404";"111825";"114087";"111664";"113670";"115068";"117769";"118414";"125983";"128820";"133596";"130097";"136237";"146974";"154469";"147392";"206012";"198904";"188339";"182216";"179311";"177551"
"74 jaar";"102105";"102861";"101877";"105282";"109951";"108587";"110901";"108668";"110865";"112165";"114943";"115620";"123141";"125752";"130644";"127166";"133239";"143818";"151105";"144279";"201622";"194454";"184417";"178281";"175631"
"75 jaar";"99829";"98370";"99193";"101898";"101866";"106301";"105259";"107616";"105524";"107808";"109017";"111926";"112642";"120099";"122728";"127374";"124111";"130091";"140466";"147609";"140597";"196590";"189898";"180091";"174096"
"76 jaar";"97691";"95818";"94514";"94457";"98217";"98339";"102719";"101781";"104270";"102154";"104550";"105773";"108680";"109471";"116871";"119370";"123876";"120818";"126649";"136821";"143353";"136563";"191452";"184891";"175425"
"77 jaar";"90626";"93395";"91567";"91236";"90726";"94211";"94500";"98929";"98153";"100640";"98577";"101067";"102408";"105292";"106130";"113391";"115800";"120219";"117269";"123046";"132521";"138728";"132338";"185798";"179430"
"78 jaar";"86538";"86179";"88740";"85976";"87103";"86653";"90111";"90581";"94840";"94471";"96715";"94993";"97356";"98830";"101767";"102414";"109546";"112105";"116317";"113620";"118606";"127888";"134024";"127870";"179832"
